objectid,CNN,ST_NAME,ST_TYPE,DISTRICT,COLLECTN,PRKG_SPLY,YEAR,shape,data_as_of,data_loaded_at
1182,2683000,BALBOA,ST,01,FIELD,15,2010,"LINESTRING (-122.498385573 37.775666701, -122.499454812 37.775617867)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1867,1544000,27TH,AVE,02,FIELD,22,2010,"LINESTRING (-122.487286367 37.785648841, -122.487150714 37.783785428)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1831,552000,14TH,AVE,02,REMOTE,20,2010,"LINESTRING (-122.473320668 37.787193059, -122.473255085 37.786288101)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7253,11701000,SCOTT,ST,05,FIELD,21,2010,"LINESTRING (-122.438393884 37.786391675, -122.438581571 37.787324905)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7348,11713000,SCOTT,ST,02,FIELD,18,2012,"LINESTRING (-122.440610077 37.797393587, -122.440798148 37.798324416)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7363,12725000,TURK,ST,06,REMOTE,17,2010,"LINESTRING (-122.422286647 37.781751804, -122.42239088 37.781730105, -122.423917825 37.781535611)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6640,3684000,CAPRA,WAY,02,FIELD,9,2010,"LINESTRING (-122.438618494 37.802890846, -122.439944037 37.80272391)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7397,6342000,GOUGH,ST,02,FIELD,15,2010,"LINESTRING (-122.426335255 37.793517194, -122.426514003 37.794397548)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6635,2977000,BLACKSTONE,CT,02,FIELD,0,2011,"LINESTRING (-122.426109168 37.800741224, -122.426563734 37.800551609)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6568,10439000,PIERCE,ST,02,FIELD,20,2012,"LINESTRING (-122.438208906 37.793849883, -122.438402485 37.794806973)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6405,10505000,PIXLEY,ST,02,FIELD,13,2010,"LINESTRING (-122.435772409 37.798487193, -122.437420402 37.798277522)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4384,2623000,BAKER,ST,02,FIELD,16,2012,"LINESTRING (-122.444119473 37.789457082, -122.444300351 37.790326523)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
6086,19448000,LINCOLN,BLVD,02,FIELD,0,2013,"LINESTRING (-122.472359862 37.806899908, -122.472087668 37.806788834, -122.471594533 37.806492896, -122.471293727 37.806343583, -122.470257093 37.805995933)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5121,8558000,LYON,ST,05,FIELD,26,2011,"LINESTRING (-122.442945446 37.775295529, -122.443132454 37.776226036)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5126,5892000,FULTON,ST,05,FIELD,28,2010,"LINESTRING (-122.439844237 37.776644008, -122.441488326 37.776435036)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5132,2611000,BAKER,ST,05,FIELD,35,2011,"LINESTRING (-122.441678193 37.777373285, -122.44186564 37.778299554)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5233,3196000,BRODERICK,ST,05,FIELD,17,2010,"LINESTRING (-122.440213333 37.778511464, -122.440396756 37.779438637)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4204,7985000,LAGUNA,ST,02,FIELD,26,2011,"LINESTRING (-122.4314977 37.802376296, -122.431679369 37.803266736)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
5000,6279000,GOLDEN GATE,AVE,05,FIELD,25,2010,"LINESTRING (-122.44350692 37.778089214, -122.445155752 37.777886506)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
7638,12522000,TERRA VISTA,AVE,02,FIELD,10,2010,"LINESTRING (-122.442127648 37.781528874, -122.442510126 37.781504668, -122.44297218 37.781460396)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4525,2364000,ANZAVISTA,AVE,02,FIELD,12,2010,"LINESTRING (-122.441743769 37.779866885, -122.442004062 37.779799672, -122.442372973 37.779726011, -122.442605349 37.779694669)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4353,15097000,FORT MASON 18,,02,REMOTE,18,2014,"LINESTRING (-122.426133058 37.804248348, -122.426525219 37.804197848, -122.426613756 37.804256506, -122.426822843 37.80517469)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4356,19127000,FUNSTON,RD,02,REMOTE,0,2014,"LINESTRING (-122.427776679 37.807083061, -122.428254996 37.806997359)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4382,8577000,LYON,ST,02,FIELD,11,2013,"LINESTRING (-122.446727777 37.794706466, -122.44687098 37.795640693)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
4475,19096000,FERNANDEZ,ST,02,FIELD,11,2013,"LINESTRING (-122.455863361 37.796554652, -122.456057877 37.796540719, -122.456266292 37.796597885)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
1880,19894000,UPTON,AVE,02,REMOTE,0,2014,"LINESTRING (-122.473496724 37.798511912, -122.473492629 37.798060119)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
13184,5559000,FILLMORE,ST,02,FIELD,23,2010,"LINESTRING (-122.434919326 37.794266034, -122.43511329 37.795225833)",06/17/2024 10:06:23 AM,06/17/2024 10:08:07 AM
